,name,solved,IK_total,IK_avg,plan_tries,wall_time
47,bookshelf_cage_0047,True,10,10.0,1,2.609441042004619
48,bookshelf_cage_0048,True,6,6.0,1,0.6927761719853152
49,bookshelf_cage_0049,True,11,11.0,1,1.850287206005305
50,bookshelf_cage_0050,True,2,2.0,1,0.16721215599682182
51,bookshelf_cage_0051,True,3,3.0,1,0.28676769699086435
52,bookshelf_cage_0052,True,1,1.0,1,0.38571430498268455
53,bookshelf_cage_0053,True,7,7.0,1,0.8463844189827796
54,bookshelf_cage_0054,True,2,0.6666666666666666,3,2.480871390987886
55,bookshelf_cage_0055,True,24,8.0,3,6.023151909990702
56,bookshelf_cage_0056,True,2,2.0,1,0.8395697149971966
57,bookshelf_cage_0057,True,4,4.0,1,0.5724624459980987
58,bookshelf_cage_0058,True,2,2.0,1,0.38570616001379676
59,bookshelf_cage_0059,True,1,1.0,1,0.6581924939819146
60,bookshelf_cage_0060,True,2,2.0,1,0.8138261180138215
61,bookshelf_cage_0061,True,5,5.0,1,0.8118368290015496
62,bookshelf_cage_0062,True,15,15.0,1,1.4909795080020558
63,bookshelf_cage_0063,True,2,2.0,1,0.7232220690057147
64,bookshelf_cage_0064,True,13,13.0,1,0.3983718169911299
65,bookshelf_cage_0065,True,8,8.0,1,0.6890658370102756
66,bookshelf_cage_0066,True,43,21.5,2,5.345476279995637
67,bookshelf_cage_0067,True,8,8.0,1,0.9475337889743969
68,bookshelf_cage_0068,True,10,5.0,2,4.21080477401847
69,bookshelf_cage_0069,True,6,6.0,1,0.7329540479986463
70,bookshelf_cage_0070,True,33,33.0,1,4.52582509900094
71,bookshelf_cage_0071,True,5,5.0,1,0.6949041819898412
72,bookshelf_cage_0072,True,2,2.0,1,0.0738840879930649
73,bookshelf_cage_0073,True,2,2.0,1,0.15762858698144555
74,bookshelf_cage_0074,True,5,5.0,1,0.9041137009917293
75,bookshelf_cage_0075,True,1,1.0,1,0.943933003989514
76,bookshelf_cage_0076,True,6,3.0,2,2.4269198729889467
77,bookshelf_cage_0077,True,15,15.0,1,2.3417946610134095
78,bookshelf_cage_0078,True,3,3.0,1,0.1879669720074162
79,bookshelf_cage_0079,True,25,25.0,1,3.7154027660144493
80,bookshelf_cage_0080,True,3,1.5,2,7.096955796005204
81,bookshelf_cage_0081,True,6,6.0,1,2.421525122015737
82,bookshelf_cage_0082,True,5,2.5,2,1.685251799004618
83,bookshelf_cage_0083,True,1,1.0,1,0.9091382149781566
84,bookshelf_cage_0084,True,9,9.0,1,0.26501296102651395
85,bookshelf_cage_0085,True,21,10.5,2,5.746339661011007
86,bookshelf_cage_0086,True,6,1.5,4,6.154899970977567
87,bookshelf_cage_0087,True,6,6.0,1,0.16274325698032044
88,bookshelf_cage_0088,True,5,2.5,2,3.2742229959985707
89,bookshelf_cage_0089,True,2,2.0,1,0.2799676489958074
90,bookshelf_cage_0090,True,3,3.0,1,0.5213583529985044
91,bookshelf_cage_0091,True,8,8.0,1,0.7114496199938003
92,bookshelf_cage_0092,True,2,2.0,1,0.1530963479890488
93,bookshelf_cage_0093,True,11,5.5,2,4.454840216989396
94,bookshelf_cage_0094,True,9,9.0,1,1.1451209459919482
95,bookshelf_cage_0095,True,4,4.0,1,0.7089205860102084
96,bookshelf_cage_0096,True,29,29.0,1,3.9846731919969898
97,bookshelf_cage_0097,True,6,6.0,1,1.6955528909747954
98,bookshelf_cage_0098,True,15,7.5,2,2.036710019019665
99,bookshelf_cage_0099,True,16,8.0,2,3.99037252299604
100,bookshelf_cage_0100,True,1,0.5,2,4.073562759993365
101,bookshelf_cage_0101,True,2,2.0,1,0.2857300920004491
102,bookshelf_cage_0102,True,10,10.0,1,1.70229571199161
103,bookshelf_cage_0103,True,2,2.0,1,0.7866588699980639
104,bookshelf_cage_0104,True,5,5.0,1,1.6367065620142967
105,bookshelf_cage_0105,True,7,3.5,2,3.8757666669844184
106,bookshelf_cage_0106,True,1,1.0,1,0.5267530819983222
107,bookshelf_cage_0107,True,7,7.0,1,1.1150125399872195
108,bookshelf_cage_0108,True,9,9.0,1,1.234990172990365
109,bookshelf_cage_0109,True,4,4.0,1,0.6429433310113382
110,bookshelf_cage_0110,True,21,10.5,2,2.5189999759895727
111,bookshelf_cage_0111,True,22,22.0,1,2.5171597259759437
112,bookshelf_cage_0112,True,5,5.0,1,0.23190333400270902
113,bookshelf_cage_0113,True,9,9.0,1,1.358690838998882
114,bookshelf_cage_0114,True,5,5.0,1,0.7659515410196036
115,bookshelf_cage_0115,True,5,5.0,1,0.5674789269978646
116,bookshelf_cage_0116,True,3,3.0,1,0.6666891479981132
117,bookshelf_cage_0117,True,16,16.0,1,3.2482759520062245
